Report_Time,Node_ID,Sector_ID,KPI_Type,KPI_Value,Unit,Severity_Level
2026-10-25 07:00:00,BTS_HANOI_01,1,TRAFFIC_DL_MBPS,105.4,Mbps,Normal
2026-10-25 07:00:00,BTS_HANOI_01,1,SINR_AVG,-4.5,dB,Critical
2026-10-25 07:00:00,BTS_HANOI_01,1,RSRP_AVG,-108.1,dBm,Degraded
2026-10-25 07:00:00,BTS_HANOI_01,1,AVAILABILITY,99.8,%,Normal
2026-10-25 07:00:00,BTS_HANOI_01,1,THROUGHPUT_DL_MBPS,98.5,Mbps,Normal
2026-10-25 07:15:00,BTS_HANOI_01,1,TRAFFIC_DL_MBPS,110.2,Mbps,Normal
2026-10-25 07:15:00,BTS_HANOI_01,1,SINR_AVG,-3.1,dB,Degraded
2026-10-25 07:15:00,BTS_HANOI_01,1,RSRP_AVG,-109.0,dBm,Degraded
2026-10-25 07:00:00,BTS_HCMC_05,3,TRAFFIC_DL_MBPS,75.0,Mbps,Normal
2026-10-25 07:00:00,BTS_HCMC_05,3,SINR_AVG,1.2,dB,Normal
2026-10-25 07:00:00,BTS_HCMC_05,3,RSRP_AVG,-95.5,dBm,Normal
2026-10-25 07:00:00,BTS_HCMC_05,3,AVAILABILITY,90.5,%,Degraded
2026-10-25 07:00:00,BTS_HANOI_02,2,TRAFFIC_DL_MBPS,88.9,Mbps,Normal
2026-10-25 07:00:00,BTS_HANOI_02,2,SINR_AVG,-5.8,dB,Critical
2026-10-25 07:00:00,BTS_HANOI_02,2,RSRP_AVG,-115.4,dBm,Critical
2026-10-25 07:00:00,BTS_HANOI_02,2,AVAILABILITY,99.9,%,Normal
2026-10-25 07:15:00,BTS_HANOI_01,1,AVAILABILITY,100.0,%,Normal
2026-10-25 07:15:00,BTS_HCMC_05,3,AVAILABILITY,90.5,%,Degraded
2026-10-25 07:00:00,BTS_HANOI_01,2,TRAFFIC_DL_MBPS,95.1,Mbps,Normal
2026-10-25 07:00:00,BTS_HANOI_01,2,SINR_AVG,-2.9,dB,Degraded
2026-10-25 07:00:00,BTS_HANOI_01,2,RSRP_AVG,-107.5,dBm,Degraded
2026-10-25 07:00:00,BTS_HANOI_01,2,AVAILABILITY,MISSING,%,Unknown
